2010-05-24 15:06:26 Notice: Notice (8): Undefined property:  Dwoo::$Html in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/layouts/default.ctp.d17.php, line 25]
2010-06-07 16:34:13 Notice: Notice (8): Undefined index:  field in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/workorders/add.tpl.d17.php, line 65]
2010-06-07 16:34:19 Notice: Notice (8): Undefined index:  field in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/workorders/add.tpl.d17.php, line 65]
2010-06-07 16:35:42 Notice: Notice (8): Undefined index:  field in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/workorders/add.tpl.d17.php, line 65]
2010-06-07 16:35:49 Notice: Notice (8): Undefined index:  field in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/workorders/add.tpl.d17.php, line 65]
2010-06-07 16:36:21 Notice: Notice (8): Undefined index:  field in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/workorders/add.tpl.d17.php, line 65]
2010-06-07 16:36:35 Notice: Notice (8): Undefined index:  field in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/workorders/add.tpl.d17.php, line 65]
2010-06-07 16:36:40 Notice: Notice (8): Undefined index:  field in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/workorders/add.tpl.d17.php, line 65]
2010-06-07 16:36:57 Notice: Notice (8): Undefined index:  field in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/workorders/add.tpl.d17.php, line 65]
2010-06-07 16:49:30 Notice: Notice (8): Undefined index:  chassis in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/workorders_controller.php, line 74]
2010-06-07 16:49:38 Notice: Notice (8): Undefined index:  registration in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/workorders_controller.php, line 73]
2010-06-07 16:57:25 Notice: Notice (8): Undefined property:  WorkordersController::$Car in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/components/autocomplete.php, line 56]
2010-06-07 16:58:12 Notice: Notice (8): Undefined property:  WorkordersController::$Workorder in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/workorders_controller.php, line 41]
2010-06-07 16:58:12 Notice: Notice (8): Trying to get property of non-object in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/workorders_controller.php, line 41]
2010-06-07 16:58:21 Notice: Notice (8): Undefined property:  WorkordersController::$Workorder in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/workorders_controller.php, line 41]
2010-06-07 16:58:21 Notice: Notice (8): Trying to get property of non-object in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/workorders_controller.php, line 41]
2010-06-08 11:40:50 Notice: Notice (8): Undefined offset:  1 in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/workorders_controller.php, line 22]
2010-06-08 11:40:50 Notice: Notice (8): Undefined offset:  2 in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/workorders_controller.php, line 22]
2010-06-08 11:47:15 Notice: Notice (8): Array to string conversion in [/var/cake/libs/model/datasources/dbo_source.php, line 731]
2010-06-08 12:00:52 Notice: Notice (8): Undefined offset:  1 in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/workorders_controller.php, line 22]
2010-06-08 12:00:52 Notice: Notice (8): Undefined offset:  2 in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/workorders_controller.php, line 22]
2010-06-08 12:02:58 Notice: Notice (8): Undefined offset:  1 in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/workorders_controller.php, line 22]
2010-06-08 12:02:58 Notice: Notice (8): Undefined offset:  2 in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/workorders_controller.php, line 22]
2010-06-08 12:16:15 Notice: Notice (8): Undefined property:  SettingsController::$Session in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/settings_controller.php, line 7]
2010-06-08 12:29:32 Notice: Notice (8): Undefined index:  name in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/settings/index.tpl.d17.php, line 63]
2010-06-08 12:44:55 Notice: Notice (8): Uninitialized string offset:  0 in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/workorders/update_car.tpl.d17.php, line 44]
2010-06-08 12:44:55 Notice: Notice (8): Uninitialized string offset:  0 in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/workorders/update_car.tpl.d17.php, line 45]
2010-06-08 12:44:55 Notice: Notice (8): Uninitialized string offset:  0 in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/workorders/update_car.tpl.d17.php, line 47]
2010-06-08 12:46:06 Notice: Notice (8): Uninitialized string offset:  0 in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/workorders/update_car.tpl.d17.php, line 44]
2010-06-08 12:46:06 Notice: Notice (8): Uninitialized string offset:  0 in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/workorders/update_car.tpl.d17.php, line 45]
2010-06-08 12:46:06 Notice: Notice (8): Uninitialized string offset:  0 in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/workorders/update_car.tpl.d17.php, line 47]
2010-06-08 13:08:46 Notice: Notice (8): Uninitialized string offset:  0 in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/workorders/update_car.tpl.d17.php, line 44]
2010-06-08 13:08:46 Notice: Notice (8): Uninitialized string offset:  0 in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/workorders/update_car.tpl.d17.php, line 45]
2010-06-08 13:08:46 Notice: Notice (8): Uninitialized string offset:  0 in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/workorders/update_car.tpl.d17.php, line 47]
2010-06-08 13:10:40 Notice: Notice (8): Uninitialized string offset:  0 in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/workorders/update_car.tpl.d17.php, line 44]
2010-06-08 13:10:40 Notice: Notice (8): Uninitialized string offset:  0 in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/workorders/update_car.tpl.d17.php, line 45]
2010-06-08 13:10:40 Notice: Notice (8): Uninitialized string offset:  0 in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/workorders/update_car.tpl.d17.php, line 47]
2010-06-08 13:13:00 Notice: Notice (8): Uninitialized string offset:  0 in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/workorders/update_car.tpl.d17.php, line 44]
2010-06-08 13:13:00 Notice: Notice (8): Uninitialized string offset:  0 in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/workorders/update_car.tpl.d17.php, line 45]
2010-06-08 13:13:00 Notice: Notice (8): Uninitialized string offset:  0 in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/workorders/update_car.tpl.d17.php, line 47]
2010-06-08 13:14:20 Notice: Notice (8): Uninitialized string offset:  0 in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/workorders/update_car.tpl.d17.php, line 47]
2010-06-08 13:14:20 Notice: Notice (8): Uninitialized string offset:  0 in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/workorders/update_car.tpl.d17.php, line 48]
2010-06-08 13:14:20 Notice: Notice (8): Uninitialized string offset:  0 in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/workorders/update_car.tpl.d17.php, line 50]
2010-06-08 13:14:34 Notice: Notice (8): Uninitialized string offset:  0 in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/workorders/update_car.tpl.d17.php, line 47]
2010-06-08 13:14:34 Notice: Notice (8): Uninitialized string offset:  0 in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/workorders/update_car.tpl.d17.php, line 48]
2010-06-08 13:14:34 Notice: Notice (8): Uninitialized string offset:  0 in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/workorders/update_car.tpl.d17.php, line 50]
2010-06-08 13:20:29 Notice: Notice (8): Uninitialized string offset:  0 in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/workorders/update_car.tpl.d17.php, line 47]
2010-06-08 13:20:29 Notice: Notice (8): Uninitialized string offset:  0 in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/workorders/update_car.tpl.d17.php, line 48]
2010-06-08 13:20:29 Notice: Notice (8): Uninitialized string offset:  0 in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/workorders/update_car.tpl.d17.php, line 50]
2010-06-08 13:48:02 Notice: Notice (8): Undefined index:  notes in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/workorders/update_car.tpl.d17.php, line 51]
2010-06-08 13:48:26 Notice: Notice (8): Undefined index:  notes in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/workorders/update_car.tpl.d17.php, line 51]
2010-06-08 13:50:46 Notice: Notice (8): Undefined index:  notes in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/workorders/update_car.tpl.d17.php, line 51]
2010-06-08 13:51:06 Notice: Notice (8): Undefined index:  notes in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/workorders/update_car.tpl.d17.php, line 51]
2010-06-08 13:51:51 Notice: Notice (8): Undefined index:  notes in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/workorders/update_car.tpl.d17.php, line 51]
2010-06-08 13:52:04 Notice: Notice (8): Undefined index:  notes in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/workorders/update_car.tpl.d17.php, line 51]
2010-06-08 13:52:34 Notice: Notice (8): Undefined index:  notes in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/workorders/update_car.tpl.d17.php, line 51]
2010-06-08 13:55:04 Notice: Notice (8): Undefined index:  notes in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/workorders/update_car.tpl.d17.php, line 70]
2010-06-08 13:55:37 Notice: Notice (8): Undefined index:  notes in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/workorders/update_car.tpl.d17.php, line 90]
2010-06-08 14:13:19 Notice: Notice (8): Undefined index:  Department in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/workorders/update_car.tpl.d17.php, line 58]
2010-06-08 14:13:19 Notice: Notice (8): Undefined index:  AuthorisedByUser in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/workorders/update_car.tpl.d17.php, line 59]
2010-06-08 14:13:19 Notice: Notice (8): Undefined index:  notes in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/workorders/update_car.tpl.d17.php, line 133]
2010-06-08 14:13:19 Notice: Notice (8): Undefined index:  Makemodel in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/workorders/update_car.tpl.d17.php, line 144]
2010-06-08 14:13:19 Notice: Notice (8): Undefined index:  Status in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/workorders/update_car.tpl.d17.php, line 147]
2010-06-08 14:13:19 Notice: Notice (8): Undefined index:  Location in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/workorders/update_car.tpl.d17.php, line 148]
2010-06-08 14:26:09 Notice: Notice (8): Undefined variable: type in [/var/www/vhosts/vpsnet.dev/httpdocs/models/makemodel.php, line 37]
2010-06-08 14:29:21 Notice: Notice (8): Undefined property:  Makemodel::$Workorder in [/var/www/vhosts/vpsnet.dev/httpdocs/models/makemodel.php, line 34]
2010-06-08 14:29:21 Notice: Notice (8): Trying to get property of non-object in [/var/www/vhosts/vpsnet.dev/httpdocs/models/makemodel.php, line 34]
2010-06-08 14:37:27 Notice: Notice (8): Undefined variable: type in [/var/www/vhosts/vpsnet.dev/httpdocs/models/makemodel.php, line 42]
2010-06-08 15:15:36 Notice: Notice (8): Undefined property:  LocationHelper::$Location in [/var/www/vhosts/vpsnet.dev/httpdocs/views/helpers/location.php, line 8]
2010-06-08 15:17:06 Notice: Notice (8): Undefined variable: uses in [/var/www/vhosts/vpsnet.dev/httpdocs/views/helpers/location.php, line 8]
2010-06-08 15:17:06 Notice: Notice (8): Undefined property:  LocationHelper::$Location in [/var/www/vhosts/vpsnet.dev/httpdocs/views/helpers/location.php, line 14]
2010-06-08 17:17:21 Notice: Notice (8): Undefined property:  UsersController::$Session in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/users_controller.php, line 16]
2010-06-08 17:18:17 Notice: Notice (8): Undefined property:  UsersController::$Session in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/users_controller.php, line 17]
2010-06-09 11:36:29 Notice: Notice (8): Undefined index:  Makemodel in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/workorders/index.tpl.d17.php, line 117]
